Region,Codigo region,Comuna,Codigo comuna,Poblacion,SE7,SE8,SE9,SE10,SE11,SE12,SE13,SE14,SE15,SE16,SE17,SE18,SE19,SE20,SE21
Arica y Parinacota,15,Arica,15101,247552,0,0,0,4,1,2,21,70,61,53,69,50,39,35,0
Arica y Parinacota,15,Camarones,15102,1233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,General Lagos,15202,810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Putre,15201,2515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arica y Parinacota,15,Total,,252110,0,0,0,4,1,2,21,70,61,53,69,50,39,35,0
,,,,,,,,,,,,,,,,,,,
Tarapaca,01,Alto Hospicio,01107,129999,0,0,0,0,0,2,4,6,13,22,35,101,104,92,0
Tarapaca,01,Camina,01402,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarapaca,01,Colchane,01403,1583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tarapaca,01,Huara,01404,3000,0,0,0,0,0,0,0,0,0,0,2,8,2,3,0
Tarapaca,01,Iquique,01101,223463,0,0,1,0,0,9,6,12,11,19,40,95,243,172,2
Tarapaca,01,Pica,01405,5958,0,0,0,0,0,0,1,7,14,10,1,2,4,0,0
Tarapaca,01,Pozo Almonte,01401,17395,0,0,0,0,0,0,0,2,0,0,0,3,4,1,0
Tarapaca,01,Total,,382773,0,0,1,0,0,11,11,27,38,51,78,209,357,268,2
,,,,,,,,,,,,,,,,,,,
Antofagasta,02,Antofagasta,02101,425725,0,0,0,1,2,28,31,40,58,105,157,206,265,105,0
Antofagasta,02,Calama,02201,190336,0,1,1,0,2,3,2,8,14,16,37,46,61,23,0
Antofagasta,02,Maria Elena,02302,6814,0,0,1,0,0,0,0,1,5,9,15,43,34,4,0
Antofagasta,02,Mejillones,02102,14776,0,0,0,0,0,0,1,8,15,18,30,73,39,7,0
Antofagasta,02,Ollague,02202,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antofagasta,02,San Pedro de Atacama,02203,10434,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
Antofagasta,02,Sierra Gorda,02103,1746,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0
Antofagasta,02,Taltal,02104,13657,0,0,0,0,0,0,0,2,3,2,1,1,2,6,0
Antofagasta,02,Tocopilla,02301,28079,0,0,0,0,0,2,0,4,5,0,1,2,7,3,0
Antofagasta,02,Total,,691854,0,1,2,1,4,35,35,64,100,150,241,374,411,151,0
,,,,,,,,,,,,,,,,,,,
Atacama,03,Alto del Carmen,03302,5729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atacama,03,Caldera,03102,19426,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0
Atacama,03,Chanaral,03201,13164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atacama,03,Copiapo,03101,171766,0,0,0,0,1,0,2,1,4,0,12,26,25,11,0
Atacama,03,Diego de Almagro,03202,14358,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
Atacama,03,Freirina,03303,7681,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Atacama,03,Huasco,03304,11264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Atacama,03,Tierra Amarilla,03103,14312,0,0,0,0,0,0,0,2,3,0,2,5,10,1,0
Atacama,03,Vallenar,03301,57009,0,0,0,0,0,0,0,0,1,9,10,9,12,2,0
Atacama,03,Total,,314709,0,0,0,0,1,0,3,3,8,10,24,44,50,15,0
,,,,,,,,,,,,,,,,,,,
Coquimbo,04,Andacollo,04103,11791,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
Coquimbo,04,Canela,04202,9546,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Coquimbo,04,Combarbala,04302,13884,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
Coquimbo,04,Coquimbo,04102,256735,0,0,0,0,4,13,3,1,0,3,4,9,16,3,0
Coquimbo,04,Illapel,04201,32801,0,0,0,0,0,0,4,7,7,0,0,1,0,0,0
Coquimbo,04,La Higuera,04104,4450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,La Serena,04101,249656,0,0,0,0,1,3,6,4,2,2,4,11,20,10,0
Coquimbo,04,Los Vilos,04203,23374,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Coquimbo,04,Monte Patria,04303,32527,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0
Coquimbo,04,Ovalle,04301,121269,0,0,0,0,2,2,4,1,0,1,1,8,18,11,0
Coquimbo,04,Paiguano,04105,4675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coquimbo,04,Punitaqui,04304,12165,0,0,0,0,0,0,0,0,0,1,1,3,3,0,0
Coquimbo,04,Rio Hurtado,04305,4372,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Coquimbo,04,Salamanca,04204,29110,0,0,0,0,0,1,2,1,2,1,0,3,0,0,0
Coquimbo,04,Vicuna,04106,29741,0,0,0,0,0,0,0,0,0,0,1,2,3,1,0
Coquimbo,04,Total,,836096,0,0,0,0,7,21,19,14,11,8,11,44,63,29,0
