date,Rain,Pressure,Solar Radiation,Temperature,Relative Humidity,Wind Direction,Wind Speed,SO2,NO2,HCNM,HCT,CH4,CO,NO,NOx,O3,PM10,PM2.5
2020-03-07 00:00:01+00:00,0,1014.29743055556,170.978333333333,25.54375,73.0727083333334,196.80875,5.23583333333333,2.76,20.5429166666667,0.105625,2.12666666666667,2.02333333333333,0.180666666666667,19.62625,40.1702083333333,28.2534730538922,38.13625,21.7083333333333
2020-03-08 00:00:01+00:00,0.001666666666667,1014.495,201.2425,26.49875,74.4013194444445,167.392118644068,5.31991525423729,2.84574468085106,17.1370833333333,0.071875,2.02770833333333,1.955,0.174083333333333,7.35291666666667,24.49125,32.0213095238095,27.3614583333333,16.0833333333333
2020-03-09 00:00:01+00:00,0.036974789915966,1015.97713286713,167.210504201681,27.3810179640719,73.292937062937,183.967899159664,5.18403361344538,2.8089156626506,23.7345833333333,0.073333333333333,2.03125,1.95875,0.215982905982906,10.8635416666667,34.5945833333333,32.6703246753247,25.2855944055944,13.375
2020-03-10 00:00:01+00:00,0.004237288135593,1015.83676056338,185.379333333333,27.530843373494,73.3948611111111,173.451694915254,4.94576271186441,4.92684782608696,23.4485416666667,0.069375,2.03645833333333,1.96708333333333,0.228333333333333,13.2070833333333,36.6570833333333,30.9894630872483,31.7879432624113,15.625
2020-03-11 00:00:01+00:00,0.036666666666667,1015.18513888889,189.9985,27.2922023809524,68.3490277777778,163.080438596491,4.97754385964912,3.23021276595745,18.433125,0.061454545454546,1.98109090909091,1.91927272727273,0.209661016949153,8.32041666666667,26.75375,27.1615243902439,30.2256028368794,13.9166666666667
2020-03-12 00:00:01+00:00,0,1015.91559440559,192.991008403361,27.0162275449102,71.136013986014,163.824196428571,4.53776785714286,4.69163043478261,20.1245833333333,0.196478873239436,2.24211267605634,2.0456338028169,0.218067226890756,9.50833333333333,29.6304166666666,29.2397005988024,28.7805555555556,12.5833333333333
2020-03-13 00:00:01+00:00,0,1015.35619354839,169.932595419847,28.4338202247191,74.1274025974026,131.030934579439,1.27971962616822,4.63053191489362,23.8643181818182,0.063194444444445,2.04597222222222,1.98277777777778,0.227457627118644,8.61568181818182,32.4806818181818,26.2385185185185,32.3593670886076,15.1739130434783
2020-03-14 00:00:01+00:00,0,1015.74529761905,165.453888888889,28.4954143646409,77.4591082802548,129.1485,1.26825,2.20521739130435,20.2822916666667,0.066805555555556,2.06611111111111,1.99902777777778,0.209166666666667,6.99270833333333,27.2741666666667,27.3266666666667,28.5918848167539,10.9583333333333
2020-03-15 00:00:01+00:00,0,1013.30470238095,192.532222222222,30.1765104166667,70.0991666666667,141.517166666667,1.03341666666667,6.89308510638298,24.944375,0.075972222222222,2.13527777777778,2.05861111111111,0.228888888888889,7.62854166666667,32.57125,29.9931413612566,27.0910416666667,18
2020-03-16 00:00:01+00:00,0.043333333333333,1011.74761904762,187.408541666667,30.6428645833333,61.7118452380953,192.1025,1.41033333333333,7.18755319148936,33.06375,0.19625,2.34375,2.14513888888889,0.272957746478873,11.3775,44.4427083333333,40.9555208333333,38.5212631578947,24.5
2020-03-17 00:00:01+00:00,0.135,1013.45107142857,90.7605555555556,27.8844791666667,77.1459523809524,185.932666666667,1.31408333333333,4.2808064516129,28.2733333333333,0.062361111111111,2.11513888888889,2.05277777777778,0.200915492957747,8.17520833333333,36.4477083333333,43.6043085106383,33.5938829787234,21.8333333333333
2020-03-18 00:00:01+00:00,0.04031007751938,1013.26059523809,174.108472222222,27.9966666666667,78.1714880952381,147.718,1.17283333333333,1.40914285714286,30.2825,0.085277777777778,2.18805555555556,2.10263888888889,0.211597222222222,13.081875,43.35125,38.1631284916201,30.8932085561497,26.0833333333333
2020-03-19 00:00:01+00:00,0.029530201342282,1008.48408536585,161.628428571429,29.5918085106383,72.0021341463415,167.864913793103,1.24698275862069,9.33464788732394,28.0676595744681,0.086666666666667,2.19402777777778,2.10847222222222,0.238611111111111,11.8846808510638,39.9372340425532,45.3582681564246,38.882688172043,22.4090909090909
2020-03-20 00:00:01+00:00,1.09636363636364,1006.67927272727,109.126524822695,28.9385185185185,69.8583636363636,203.516153846154,1.49700854700855,4.86149253731343,23.9866666666667,0.116944444444444,2.17138888888889,2.05416666666667,0.245902777777778,8.51104166666667,32.4970833333333,46.203202247191,28.395,12.875
2020-03-21 00:00:01+00:00,0.889873417721519,1011.55012658228,46.0318656716418,24.1128021978022,96.1513291139241,213.754090909091,0.983090909090909,2.92732394366197,27.1214583333333,0.077605633802817,2.08,2.00323943661972,0.248680555555556,8.299375,35.4152083333333,29.1117989417989,17.2004069767442,9.95652173913044
2020-03-22 00:00:01+00:00,0.05859872611465,1016.50585987261,108.798045112782,25.0143452380952,83.4779470198676,174.587889908257,1.02779816513761,4.06394366197183,13.45125,0.058611111111111,2.02708333333333,1.97013888888889,0.112833333333333,4.65479166666667,18.0739583333333,32.5984126984127,19.6416574585635,10.9166666666667
2020-03-23 00:00:01+00:00,0.039880952380952,1018.95196428571,176.928680555555,25.3677976190476,73.3343055555556,164.482166666667,1.07433333333333,5.04845070422535,13.8127083333333,0.069583333333333,1.99013888888889,1.92111111111111,0.093543307086614,12.3397916666667,26.1247916666667,27.1500552486188,21.8578571428571,11.125
2020-03-24 00:00:01+00:00,0.002439024390244,1018.27012195122,125.888142857143,24.601377245509,72.4457718120806,165.222672413793,1.07275862068966,4.52943661971831,14.5025531914894,0.055416666666667,1.98194444444444,1.92722222222222,0.10612676056338,12.6517021276596,27.1553191489362,25.1875520833333,20.0448167539267,13
2020-03-25 00:00:01+00:00,0.000649350649351,1016.6125974026,165.346846153846,25.043202247191,71.1911038961039,166.757547169811,0.933396226415094,5.99,17.4083333333333,0.074861111111111,2.05236111111111,1.97861111111111,0.092986111111111,11.2177083333333,28.6179166666667,30.6967708333334,25.6006770833333,18.6086956521739
2020-03-26 00:00:01+00:00,0.004166666666667,1016.01029761905,184.722013888889,25.5691666666667,71.6019642857143,157.7235,1.06491666666667,5.66242424242424,16.2720833333333,0.057638888888889,2.02,1.96208333333333,0.115277777777778,9.66,25.9183333333333,34.0190625,23.3988461538462,13.2916666666667
