Region,Codigo region,Comuna,Codigo comuna,Poblacion,Fecha,Casos fallecidos
Arica y Parinacota,15,Arica,15101,247552.0,2020-06-12,10.0
Arica y Parinacota,15,Camarones,15102,1233.0,2020-06-12,0.0
Arica y Parinacota,15,General Lagos,15202,810.0,2020-06-12,0.0
Arica y Parinacota,15,Putre,15201,2515.0,2020-06-12,0.0
Arica y Parinacota,15,Desconocido Arica y Parinacota,,,2020-06-12,
Arica y Parinacota,15,Total,,252110.0,2020-06-12,10.0
Tarapaca,01,Alto Hospicio,01107,129999.0,2020-06-12,11.0
Tarapaca,01,Camina,01402,1375.0,2020-06-12,1.0
Tarapaca,01,Colchane,01403,1583.0,2020-06-12,1.0
Tarapaca,01,Huara,01404,3000.0,2020-06-12,2.0
Tarapaca,01,Iquique,01101,223463.0,2020-06-12,32.0
Tarapaca,01,Pica,01405,5958.0,2020-06-12,0.0
Tarapaca,01,Pozo Almonte,01401,17395.0,2020-06-12,1.0
Tarapaca,01,Desconocido Tarapaca,,,2020-06-12,
Tarapaca,01,Total,,382773.0,2020-06-12,48.0
Antofagasta,02,Antofagasta,02101,425725.0,2020-06-12,27.0
Antofagasta,02,Calama,02201,190336.0,2020-06-12,29.0
Antofagasta,02,Maria Elena,02302,6814.0,2020-06-12,3.0
Antofagasta,02,Mejillones,02102,14776.0,2020-06-12,4.0
Antofagasta,02,Ollague,02202,287.0,2020-06-12,0.0
Antofagasta,02,San Pedro de Atacama,02203,10434.0,2020-06-12,0.0
Antofagasta,02,Sierra Gorda,02103,1746.0,2020-06-12,0.0
Antofagasta,02,Taltal,02104,13657.0,2020-06-12,0.0
Antofagasta,02,Tocopilla,02301,28079.0,2020-06-12,1.0
Antofagasta,02,Desconocido Antofagasta,,,2020-06-12,
Antofagasta,02,Total,,691854.0,2020-06-12,64.0
Atacama,03,Alto del Carmen,03302,5729.0,2020-06-12,0.0
Atacama,03,Caldera,03102,19426.0,2020-06-12,0.0
Atacama,03,Chanaral,03201,13164.0,2020-06-12,0.0
Atacama,03,Copiapo,03101,171766.0,2020-06-12,0.0
Atacama,03,Diego de Almagro,03202,14358.0,2020-06-12,0.0
Atacama,03,Freirina,03303,7681.0,2020-06-12,0.0
Atacama,03,Huasco,03304,11264.0,2020-06-12,0.0
Atacama,03,Tierra Amarilla,03103,14312.0,2020-06-12,0.0
Atacama,03,Vallenar,03301,57009.0,2020-06-12,0.0
Atacama,03,Desconocido Atacama,,,2020-06-12,
Atacama,03,Total,,314709.0,2020-06-12,0.0
Coquimbo,04,Andacollo,04103,11791.0,2020-06-12,1.0
Coquimbo,04,Canela,04202,9546.0,2020-06-12,0.0
Coquimbo,04,Combarbala,04302,13884.0,2020-06-12,0.0
Coquimbo,04,Coquimbo,04102,256735.0,2020-06-12,3.0
Coquimbo,04,Illapel,04201,32801.0,2020-06-12,0.0
Coquimbo,04,La Higuera,04104,4450.0,2020-06-12,0.0
Coquimbo,04,La Serena,04101,249656.0,2020-06-12,2.0
Coquimbo,04,Los Vilos,04203,23374.0,2020-06-12,0.0
Coquimbo,04,Monte Patria,04303,32527.0,2020-06-12,1.0
Coquimbo,04,Ovalle,04301,121269.0,2020-06-12,1.0
Coquimbo,04,Paiguano,04105,4675.0,2020-06-12,0.0
Coquimbo,04,Punitaqui,04304,12165.0,2020-06-12,1.0
Coquimbo,04,Rio Hurtado,04305,4372.0,2020-06-12,0.0
Coquimbo,04,Salamanca,04204,29110.0,2020-06-12,0.0
Coquimbo,04,Vicuna,04106,29741.0,2020-06-12,0.0
Coquimbo,04,Desconocido Coquimbo,,,2020-06-12,
Coquimbo,04,Total,,836096.0,2020-06-12,9.0
Valparaiso,05,Algarrobo,05602,15174.0,2020-06-12,5.0
Valparaiso,05,Cabildo,05402,20663.0,2020-06-12,0.0
Valparaiso,05,Calera,05502,53591.0,2020-06-12,0.0
Valparaiso,05,Calle Larga,05302,16482.0,2020-06-12,0.0
Valparaiso,05,Cartagena,05603,25357.0,2020-06-12,2.0
Valparaiso,05,Casablanca,05102,29170.0,2020-06-12,0.0
Valparaiso,05,Catemu,05702,15213.0,2020-06-12,0.0
Valparaiso,05,Concon,05103,45889.0,2020-06-12,2.0
Valparaiso,05,El Quisco,05604,17742.0,2020-06-12,2.0
Valparaiso,05,El Tabo,05605,14338.0,2020-06-12,3.0
Valparaiso,05,Hijuelas,05503,19099.0,2020-06-12,1.0
Valparaiso,05,Isla de Pascua,05201,8277.0,2020-06-12,0.0
Valparaiso,05,Juan Fernandez,05104,1033.0,2020-06-12,0.0
Valparaiso,05,La Cruz,05504,25321.0,2020-06-12,1.0
Valparaiso,05,La Ligua,05401,37739.0,2020-06-12,2.0
Valparaiso,05,Limache,05802,49931.0,2020-06-12,4.0
Valparaiso,05,Llaillay,05703,26533.0,2020-06-12,3.0
Valparaiso,05,Los Andes,05301,68093.0,2020-06-12,4.0
Valparaiso,05,Nogales,05506,23490.0,2020-06-12,0.0
Valparaiso,05,Olmue,05803,19266.0,2020-06-12,2.0
Valparaiso,05,Panquehue,05704,7633.0,2020-06-12,0.0
Valparaiso,05,Papudo,05403,6201.0,2020-06-12,0.0
Valparaiso,05,Petorca,05404,10558.0,2020-06-12,0.0
Valparaiso,05,Puchuncavi,05105,20071.0,2020-06-12,1.0
Valparaiso,05,Putaendo,05705,17645.0,2020-06-12,0.0
Valparaiso,05,Quillota,05501,97572.0,2020-06-12,6.0
Valparaiso,05,Quilpue,05801,167085.0,2020-06-12,4.0
Valparaiso,05,Quintero,05107,36135.0,2020-06-12,4.0
Valparaiso,05,Rinconada,05303,11263.0,2020-06-12,0.0
