Grupo de edad,00  15 años,15  29 años,30  44 años,45  59 años,60  79 años,80 y más años,00  15 años,15  29 años,30  44 años,45  59 años,60  79 años,80 y más años,00  5 años,5  17 años,18  49 años,50  59 años,60  69 años,70  79 años,80 y más años,00  5 años,5  17 años,18  49 años,50  59 años,60  69 años,70  79 años,80 y más años
Sexo,M,M,M,M,M,M,F,F,F,F,F,F,M,M,M,M,M,M,M,F,F,F,F,F,F,F
2020-03-24,1.0,2.0,9.0,8.0,11.0,2.0,1.0,9.0,7.0,6.0,5.0,1.0,,,,,,,,,,,,,,
2020-03-25,1.0,6.0,26.0,17.0,22.0,3.0,1.0,13.0,20.0,19.0,12.0,2.0,,,,,,,,,,,,,,
2020-03-26,1.0,8.0,28.0,20.0,25.0,6.0,1.0,16.0,24.0,25.0,17.0,2.0,,,,,,,,,,,,,,
2020-03-27,1.0,8.0,34.0,23.0,28.0,6.0,1.0,17.0,26.0,27.0,25.0,3.0,,,,,,,,,,,,,,
2020-03-28,1.0,9.0,42.0,32.0,32.0,8.0,1.0,18.0,26.0,31.0,32.0,5.0,,,,,,,,,,,,,,
2020-03-29,1.0,9.0,43.0,35.0,35.0,8.0,2.0,18.0,28.0,31.0,32.0,6.0,,,,,,,,,,,,,,
2020-03-30,1.0,11.0,46.0,39.0,36.0,8.0,2.0,18.0,30.0,37.0,37.0,7.0,,,,,,,,,,,,,,
2020-03-31,1.0,12.0,49.0,48.0,43.0,10.0,2.0,18.0,36.0,42.0,45.0,7.0,,,,,,,,,,,,,,
2020-04-01,1.0,13.0,52.0,56.0,55.0,14.0,2.0,22.0,39.0,46.0,52.0,10.0,,,,,,,,,,,,,,
2020-04-02,1.0,15.0,54.0,60.0,57.0,15.0,2.0,22.0,40.0,46.0,54.0,11.0,,,,,,,,,,,,,,
2020-04-03,1.0,15.0,64.0,65.0,70.0,17.0,2.0,22.0,46.0,52.0,65.0,14.0,,,,,,,,,,,,,,
2020-04-04,1.0,16.0,70.0,72.0,86.0,19.0,2.0,22.0,50.0,59.0,74.0,16.0,,,,,,,,,,,,,,
2020-04-05,1.0,18.0,75.0,76.0,90.0,24.0,2.0,27.0,54.0,61.0,81.0,16.0,,,,,,,,,,,,,,
2020-04-06,1.0,19.0,82.0,83.0,94.0,25.0,3.0,30.0,56.0,67.0,84.0,19.0,,,,,,,,,,,,,,
2020-04-07,2.0,21.0,84.0,92.0,103.0,29.0,3.0,34.0,60.0,72.0,92.0,22.0,,,,,,,,,,,,,,
2020-04-08,2.0,30.0,95.0,103.0,121.0,34.0,4.0,43.0,70.0,88.0,108.0,27.0,,,,,,,,,,,,,,
2020-04-09,4.0,40.0,104.0,128.0,145.0,35.0,7.0,51.0,80.0,112.0,123.0,33.0,,,,,,,,,,,,,,
2020-04-10,5.0,51.0,126.0,158.0,174.0,41.0,7.0,55.0,93.0,126.0,138.0,39.0,,,,,,,,,,,,,,
2020-04-11,7.0,52.0,131.0,169.0,190.0,51.0,7.0,60.0,105.0,139.0,151.0,45.0,,,,,,,,,,,,,,
2020-04-12,8.0,54.0,135.0,178.0,198.0,52.0,8.0,61.0,111.0,141.0,161.0,48.0,,,,,,,,,,,,,,
2020-04-13,8.0,56.0,140.0,183.0,203.0,55.0,10.0,63.0,113.0,150.0,163.0,50.0,,,,,,,,,,,,,,
2020-04-14,8.0,59.0,154.0,193.0,216.0,58.0,11.0,69.0,118.0,159.0,172.0,50.0,,,,,,,,,,,,,,
2020-04-15,11.0,67.0,167.0,211.0,235.0,63.0,11.0,76.0,133.0,180.0,190.0,52.0,,,,,,,,,,,,,,
2020-04-16,12.0,71.0,191.0,229.0,267.0,65.0,13.0,80.0,150.0,196.0,208.0,58.0,,,,,,,,,,,,,,
2020-04-17,16.0,74.0,198.0,250.0,279.0,66.0,15.0,85.0,154.0,204.0,215.0,63.0,,,,,,,,,,,,,,
2020-04-18,20.0,79.0,205.0,259.0,291.0,68.0,16.0,87.0,161.0,206.0,216.0,64.0,,,,,,,,,,,,,,
2020-04-19,21.0,80.0,207.0,261.0,293.0,73.0,16.0,89.0,164.0,209.0,218.0,65.0,,,,,,,,,,,,,,
2020-04-20,21.0,85.0,214.0,267.0,305.0,76.0,16.0,91.0,170.0,212.0,231.0,72.0,,,,,,,,,,,,,,
2020-04-22,,,,,,,,,,,,,11.0,15.0,381.0,199.0,174.0,153.0,76.0,8.0,14.0,307.0,164.0,123.0,119.0,75.0
2020-04-23,,,,,,,,,,,,,12.0,15.0,392.0,205.0,177.0,157.0,80.0,10.0,14.0,311.0,164.0,128.0,123.0,82.0
2020-04-24,,,,,,,,,,,,,12.0,15.0,396.0,210.0,182.0,158.0,81.0,11.0,14.0,316.0,168.0,130.0,123.0,89.0
2020-04-25,,,,,,,,,,,,,12.0,15.0,402.0,216.0,187.0,159.0,87.0,15.0,14.0,321.0,172.0,134.0,125.0,96.0
2020-04-26,,,,,,,,,,,,,12.0,15.0,403.0,220.0,187.0,162.0,89.0,16.0,14.0,325.0,176.0,137.0,129.0,97.0
2020-04-27,,,,,,,,,,,,,13.0,15.0,406.0,221.0,197.0,164.0,93.0,16.0,14.0,330.0,177.0,138.0,131.0,97.0
2020-04-28,,,,,,,,,,,,,14.0,15.0,409.0,225.0,201.0,167.0,101.0,16.0,16.0,340.0,184.0,142.0,135.0,102.0
2020-05-02,,,,,,,,,,,,,17.0,18.0,488.0,282.0,268.0,216.0,125.0,20.0,15.0,404.0,214.0,192.0,172.0,124.0
2020-05-04,,,,,,,,,,,,,20.0,17.0,497.0,295.0,286.0,227.0,136.0,20.0,16.0,414.0,217.0,202.0,189.0,129.0
2020-05-06,,,,,,,,,,,,,22.0,19.0,519.0,315.0,296.0,241.0,144.0,22.0,19.0,438.0,221.0,217.0,201.0,140.0
2020-05-08,,,,,,,,,,,,,28.0,23.0,567.0,348.0,341.0,253.0,149.0,24.0,22.0,489.0,232.0,233.0,219.0,157.0
2020-05-18,,,,,,,,,,,,,50.0,38.0,809.0,491.0,482.0,384.0,207.0,47.0,33.0,692.0,319.0,313.0,290.0,221.0
